fastenc(sendmsg) ENABLED hwnd=004B02C6 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=0 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=14 smto=1 res=0 battling=0 pos=(304,545) (1/tick)
fastenc(sendmsg) sent cnt=15 smto=1 res=0 battling=0 pos=(303,545) (1/tick)
fastenc(sendmsg) sent cnt=32 smto=1 res=0 battling=0 pos=(303,545) (1/tick)
fastenc(sendmsg) sent cnt=37 smto=1 res=0 battling=0 pos=(303,545) (1/tick)
fastenc(sendmsg) sent cnt=49 smto=1 res=0 battling=0 pos=(303,545) (1/tick)
fastenc(sendmsg) sent cnt=66 smto=1 res=0 battling=0 pos=(303,545) (1/tick)
fastenc(sendmsg) sent cnt=73 smto=1 res=0 battling=0 pos=(303,545) (1/tick)
fastenc(sendmsg) sent cnt=79 smto=1 res=0 battling=0 pos=(302,545) (1/tick)
fastenc(sendmsg) sent cnt=96 smto=1 res=0 battling=0 pos=(302,545) (1/tick)
fastenc(sendmsg) sent cnt=113 smto=1 res=0 battling=0 pos=(302,545) (1/tick)
fastenc(sendmsg) sent cnt=130 smto=1 res=0 battling=0 pos=(302,545) (1/tick)
fastenc(sendmsg) sent cnt=147 smto=1 res=0 battling=0 pos=(302,545) (1/tick)
fastenc(sendmsg) sent cnt=155 smto=1 res=0 battling=0 pos=(302,545) (1/tick)
fastenc(sendmsg) sent cnt=171 smto=1 res=0 battling=0 pos=(302,545) (1/tick)
fastenc(sendmsg) sent cnt=188 smto=1 res=0 battling=0 pos=(302,545) (1/tick)
fastenc(sendmsg) sent cnt=203 smto=1 res=0 battling=0 pos=(302,545) (1/tick)
fastenc(sendmsg) sent cnt=220 smto=1 res=0 battling=0 pos=(302,545) (1/tick)
fastenc(sendmsg) sent cnt=236 smto=1 res=0 battling=0 pos=(301,545) (1/tick)
fastenc(sendmsg) sent cnt=248 smto=1 res=0 battling=0 pos=(301,545) (1/tick)
fastenc(sendmsg) sent cnt=258 smto=1 res=0 battling=0 pos=(300,545) (1/tick)
fastenc(sendmsg) sent cnt=275 smto=1 res=0 battling=0 pos=(300,545) (1/tick)
fastenc(sendmsg) sent cnt=291 smto=1 res=0 battling=0 pos=(300,545) (1/tick)
fastenc(sendmsg) sent cnt=308 smto=1 res=0 battling=0 pos=(300,545) (1/tick)
fastenc(sendmsg) sent cnt=325 smto=1 res=0 battling=0 pos=(300,545) (1/tick)
fastenc(sendmsg) sent cnt=342 smto=1 res=0 battling=0 pos=(300,545) (1/tick)
fastenc(sendmsg) sent cnt=345 smto=1 res=0 battling=0 pos=(299,545) (1/tick)
fastenc(sendmsg) sent cnt=362 smto=1 res=0 battling=0 pos=(299,545) (1/tick)
fastenc(sendmsg) sent cnt=379 smto=1 res=0 battling=0 pos=(299,545) (1/tick)
fastenc(sendmsg) sent cnt=396 smto=1 res=0 battling=0 pos=(299,545) (1/tick)
fastenc(sendmsg) sent cnt=413 smto=1 res=0 battling=0 pos=(299,545) (1/tick)
fastenc(sendmsg) sent cnt=430 smto=1 res=0 battling=0 pos=(299,545) (1/tick)
fastenc(sendmsg) sent cnt=438 smto=1 res=0 battling=0 pos=(298,545) (1/tick)
fastenc(sendmsg) sent cnt=443 smto=1 res=0 battling=0 pos=(297,545) (1/tick)
fastenc(sendmsg) sent cnt=450 smto=1 res=0 battling=0 pos=(297,545) (1/tick)
fastenc(sendmsg) sent cnt=467 smto=1 res=0 battling=0 pos=(297,545) (1/tick)
fastenc(sendmsg) sent cnt=477 smto=1 res=0 battling=0 pos=(297,545) (1/tick)
fastenc(sendmsg) sent cnt=494 smto=1 res=0 battling=0 pos=(297,545) (1/tick)
fastenc(sendmsg) sent cnt=500 smto=1 res=0 battling=0 pos=(296,545) (1/tick)
fastenc(sendmsg) sent cnt=514 smto=1 res=0 battling=0 pos=(295,545) (1/tick)
fastenc(sendmsg) sent cnt=531 smto=1 res=0 battling=0 pos=(295,545) (1/tick)
fastenc(sendmsg) sent cnt=548 smto=1 res=0 battling=0 pos=(294,545) (1/tick)
