fastbattle-hook install ok=7 enTr=10850000 bTr=10870000 rsTr=13B00000
fbstate procN=1 battling=0 active=0 turn=0 anim=0 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=0 resultWnd=0
EN fd=2652 result=1 field=6
fastdrive turn=0 myPos=0 anim=0 target=-1 bfd=A5C
B fd=2652 sub=BP len=9 head=BP|0|0|55
B fd=2652 sub=BC len=143 head=BC|0|0|test2||18ADC|1E|FB|107|5|1|..............|1B|E7|F3|5|................||18A2B|1D|159|159|1|0||0|0|0|F|........||1879C|2|1D|1D|1|0||0|0|0|
B fd=2652 sub=BA len=10 head=BA|8000|0|
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
fbstate procN=9 battling=0 active=0 turn=0 anim=8000 resultWnd=0
