fastenc(sendmsg) ENABLED hwnd=00330594 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=0 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=13 smto=1 res=0 battling=0 pos=(277,545) (1/tick)
fastenc(sendmsg) sent cnt=30 smto=1 res=0 battling=0 pos=(277,545) (1/tick)
fastenc(sendmsg) sent cnt=34 smto=1 res=0 battling=0 pos=(276,545) (1/tick)
fastenc(sendmsg) sent cnt=51 smto=1 res=0 battling=0 pos=(276,545) (1/tick)
fastenc(sendmsg) sent cnt=63 smto=1 res=0 battling=0 pos=(275,545) (1/tick)
fastenc(sendmsg) sent cnt=80 smto=1 res=0 battling=0 pos=(275,545) (1/tick)
fastenc(sendmsg) sent cnt=87 smto=1 res=0 battling=0 pos=(274,545) (1/tick)
fastenc(sendmsg) sent cnt=104 smto=1 res=0 battling=0 pos=(274,545) (1/tick)
fastenc(sendmsg) sent cnt=121 smto=1 res=0 battling=0 pos=(274,545) (1/tick)
fastenc(sendmsg) sent cnt=138 smto=1 res=0 battling=0 pos=(274,545) (1/tick)
fastenc(sendmsg) sent cnt=155 smto=1 res=0 battling=0 pos=(274,545) (1/tick)
fastenc(sendmsg) sent cnt=157 smto=1 res=0 battling=0 pos=(273,545) (1/tick)
fastenc(sendmsg) sent cnt=173 smto=1 res=0 battling=0 pos=(273,545) (1/tick)
fastenc(sendmsg) sent cnt=183 smto=1 res=0 battling=0 pos=(273,545) (1/tick)
fastenc(sendmsg) sent cnt=200 smto=1 res=0 battling=0 pos=(273,545) (1/tick)
fastenc(sendmsg) sent cnt=209 smto=1 res=0 battling=0 pos=(273,545) (1/tick)
fastenc(sendmsg) sent cnt=221 smto=1 res=0 battling=0 pos=(273,545) (1/tick)
fastenc(sendmsg) sent cnt=230 smto=1 res=0 battling=0 pos=(273,545) (1/tick)
fastenc(sendmsg) sent cnt=241 smto=1 res=0 battling=0 pos=(273,545) (1/tick)
fastenc(sendmsg) sent cnt=258 smto=1 res=0 battling=0 pos=(273,545) (1/tick)
fastenc(sendmsg) sent cnt=261 smto=1 res=0 battling=0 pos=(272,545) (1/tick)
fastenc(sendmsg) sent cnt=277 smto=1 res=0 battling=0 pos=(271,545) (1/tick)
fastenc(sendmsg) sent cnt=285 smto=1 res=0 battling=0 pos=(271,545) (1/tick)
fastenc(sendmsg) sent cnt=302 smto=1 res=0 battling=0 pos=(271,545) (1/tick)
fastenc(sendmsg) sent cnt=303 smto=1 res=0 battling=0 pos=(271,545) (1/tick)
fastenc(sendmsg) sent cnt=320 smto=1 res=0 battling=0 pos=(271,545) (1/tick)
fastenc(sendmsg) sent cnt=333 smto=1 res=0 battling=0 pos=(270,545) (1/tick)
fastenc(sendmsg) sent cnt=343 smto=1 res=0 battling=0 pos=(270,545) (1/tick)
fastenc(sendmsg) sent cnt=349 smto=1 res=0 battling=0 pos=(269,545) (1/tick)
fastenc(sendmsg) sent cnt=353 smto=1 res=0 battling=0 pos=(268,545) (1/tick)
fastenc(sendmsg) sent cnt=359 smto=1 res=0 battling=0 pos=(267,545) (1/tick)
fastenc(sendmsg) sent cnt=369 smto=1 res=0 battling=0 pos=(266,545) (1/tick)
fastenc(sendmsg) sent cnt=386 smto=1 res=0 battling=0 pos=(266,545) (1/tick)
fastenc(sendmsg) sent cnt=394 smto=1 res=0 battling=0 pos=(266,545) (1/tick)
fastenc(sendmsg) sent cnt=411 smto=1 res=0 battling=0 pos=(266,545) (1/tick)
fastenc(sendmsg) sent cnt=428 smto=1 res=0 battling=0 pos=(266,545) (1/tick)
fastenc(sendmsg) sent cnt=433 smto=1 res=0 battling=0 pos=(266,545) (1/tick)
fastenc(sendmsg) sent cnt=442 smto=1 res=0 battling=0 pos=(265,545) (1/tick)
fastenc(sendmsg) sent cnt=459 smto=1 res=0 battling=0 pos=(265,545) (1/tick)
fastenc(sendmsg) sent cnt=475 smto=1 res=0 battling=0 pos=(265,545) (1/tick)
fastenc(sendmsg) sent cnt=491 smto=1 res=0 battling=0 pos=(265,545) (1/tick)
fastenc(sendmsg) sent cnt=508 smto=1 res=0 battling=0 pos=(265,545) (1/tick)
fastenc(sendmsg) sent cnt=514 smto=1 res=0 battling=0 pos=(264,545) (1/tick)
fastenc(sendmsg) sent cnt=526 smto=1 res=0 battling=0 pos=(263,545) (1/tick)
fastenc(sendmsg) sent cnt=543 smto=1 res=0 battling=0 pos=(263,545) (1/tick)
fastenc(sendmsg) sent cnt=547 smto=1 res=0 battling=0 pos=(262,545) (1/tick)
fastenc(sendmsg) sent cnt=549 smto=1 res=0 battling=0 pos=(262,545) (1/tick)
fastenc(sendmsg) sent cnt=557 smto=1 res=0 battling=0 pos=(262,545) (1/tick)
fastenc(sendmsg) sent cnt=574 smto=1 res=0 battling=0 pos=(262,545) (1/tick)
