autowalk want=1 now=(0,0) orig=(0,0) side=0 target=0 ms=0 wrote=0
autowalk want=1 now=(537,427) orig=(537,427) side=5 target=522 ms=0 wrote=1
autowalk want=1 now=(522,412) orig=(537,427) side=5 target=507 ms=0 wrote=1
autowalk want=1 now=(507,397) orig=(537,427) side=5 target=492 ms=0 wrote=1
autowalk want=1 now=(492,382) orig=(537,427) side=5 target=477 ms=0 wrote=1
autowalk want=1 now=(477,367) orig=(537,427) side=5 target=462 ms=0 wrote=1
autowalk want=1 now=(462,352) orig=(537,427) side=5 target=447 ms=0 wrote=1
autowalk want=1 now=(457,347) orig=(537,427) side=5 target=442 ms=0 wrote=1
autowalk want=1 now=(459,349) orig=(537,427) side=5 target=444 ms=1 wrote=1
autowalk want=1 now=(446,336) orig=(537,427) side=5 target=431 ms=0 wrote=1
autowalk want=1 now=(431,321) orig=(537,427) side=5 target=416 ms=0 wrote=1
autowalk want=1 now=(424,317) orig=(537,427) side=5 target=409 ms=0 wrote=1
autowalk want=1 now=(424,317) orig=(537,427) side=6 target=424 ms=0 wrote=1
autowalk want=1 now=(424,317) orig=(537,427) side=2 target=424 ms=0 wrote=1
autowalk want=1 now=(424,331) orig=(537,427) side=2 target=424 ms=0 wrote=1
autowalk want=1 now=(424,331) orig=(537,427) side=4 target=409 ms=0 wrote=1
autowalk want=1 now=(409,331) orig=(537,427) side=4 target=394 ms=0 wrote=1
autowalk want=1 now=(407,331) orig=(537,427) side=4 target=392 ms=0 wrote=1
autowalk want=1 now=(407,331) orig=(537,427) side=0 target=422 ms=0 wrote=1
autowalk want=1 now=(422,331) orig=(537,427) side=0 target=437 ms=0 wrote=1
autowalk want=1 now=(423,331) orig=(537,427) side=0 target=438 ms=0 wrote=1
autowalk want=1 now=(423,331) orig=(537,427) side=4 target=408 ms=1 wrote=1
autowalk want=1 now=(408,331) orig=(537,427) side=4 target=393 ms=0 wrote=1
autowalk want=1 now=(407,331) orig=(537,427) side=4 target=392 ms=0 wrote=1
autowalk want=1 now=(407,331) orig=(537,427) side=7 target=422 ms=0 wrote=1
autowalk want=1 now=(422,319) orig=(537,427) side=7 target=437 ms=0 wrote=1
autowalk want=1 now=(424,317) orig=(537,427) side=7 target=439 ms=0 wrote=1
autowalk want=1 now=(424,317) orig=(537,427) side=6 target=424 ms=0 wrote=1
autowalk want=1 now=(424,317) orig=(537,427) side=3 target=409 ms=0 wrote=1
autowalk want=1 now=(409,332) orig=(537,427) side=3 target=394 ms=0 wrote=1
autowalk want=1 now=(407,339) orig=(537,427) side=3 target=392 ms=0 wrote=1
autowalk want=1 now=(407,339) orig=(537,427) side=5 target=392 ms=0 wrote=1
autowalk want=1 now=(407,338) orig=(537,427) side=5 target=392 ms=0 wrote=1
autowalk want=1 now=(407,338) orig=(537,427) side=0 target=422 ms=1 wrote=1
autowalk want=1 now=(413,337) orig=(537,427) side=0 target=428 ms=0 wrote=1
autowalk want=1 now=(413,337) orig=(537,427) side=2 target=413 ms=0 wrote=1
autowalk want=1 now=(411,341) orig=(537,427) side=2 target=411 ms=0 wrote=1
autowalk want=1 now=(411,341) orig=(537,427) side=7 target=426 ms=0 wrote=1
autowalk want=1 now=(426,326) orig=(537,427) side=7 target=441 ms=0 wrote=1
autowalk want=1 now=(441,311) orig=(537,427) side=7 target=456 ms=0 wrote=1
autowalk want=1 now=(456,306) orig=(537,427) side=7 target=471 ms=0 wrote=1
autowalk want=1 now=(464,299) orig=(537,427) side=7 target=479 ms=0 wrote=1
autowalk want=1 now=(464,299) orig=(537,427) side=6 target=464 ms=0 wrote=1
autowalk want=1 now=(464,299) orig=(537,427) side=2 target=464 ms=0 wrote=1
autowalk want=1 now=(464,310) orig=(537,427) side=2 target=464 ms=0 wrote=1
autowalk want=1 now=(464,310) orig=(537,427) side=5 target=449 ms=1 wrote=1
autowalk want=1 now=(458,303) orig=(537,427) side=5 target=443 ms=0 wrote=1
autowalk want=1 now=(458,303) orig=(537,427) side=0 target=473 ms=0 wrote=1
autowalk want=1 now=(473,303) orig=(537,427) side=0 target=488 ms=0 wrote=1
autowalk want=1 now=(478,303) orig=(537,427) side=0 target=493 ms=0 wrote=1
autowalk want=1 now=(478,303) orig=(537,427) side=1 target=493 ms=1 wrote=1
autowalk want=1 now=(491,317) orig=(537,427) side=1 target=506 ms=0 wrote=1
autowalk want=1 now=(489,315) orig=(537,427) side=1 target=504 ms=1 wrote=1
autowalk want=1 now=(489,315) orig=(537,427) side=2 target=489 ms=1 wrote=1
autowalk want=1 now=(489,328) orig=(537,427) side=2 target=489 ms=0 wrote=1
