fastenc(sendmsg) ENABLED hwnd=005A02C6 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=0 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=14 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=31 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=48 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=65 smto=1 res=0 battling=0 pos=(253,545) (1/tick)
fastenc(sendmsg) sent cnt=82 smto=1 res=0 battling=0 pos=(252,545) (1/tick)
fastenc(sendmsg) sent cnt=99 smto=1 res=0 battling=0 pos=(252,545) (1/tick)
fastenc(sendmsg) sent cnt=115 smto=1 res=0 battling=0 pos=(252,545) (1/tick)
fastenc(sendmsg) sent cnt=132 smto=1 res=0 battling=0 pos=(252,545) (1/tick)
fastenc(sendmsg) sent cnt=149 smto=1 res=0 battling=0 pos=(252,545) (1/tick)
fastenc(sendmsg) sent cnt=166 smto=1 res=0 battling=0 pos=(252,545) (1/tick)
fastenc(sendmsg) sent cnt=183 smto=1 res=0 battling=0 pos=(252,545) (1/tick)
fastenc(sendmsg) sent cnt=200 smto=1 res=0 battling=0 pos=(252,545) (1/tick)
fastenc(sendmsg) sent cnt=217 smto=1 res=0 battling=0 pos=(252,545) (1/tick)
fastenc(sendmsg) sent cnt=234 smto=1 res=0 battling=0 pos=(252,545) (1/tick)
fastenc(sendmsg) sent cnt=251 smto=1 res=0 battling=0 pos=(252,545) (1/tick)
fastenc(sendmsg) sent cnt=268 smto=1 res=0 battling=0 pos=(251,545) (1/tick)
fastenc(sendmsg) sent cnt=285 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=302 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=319 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=336 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=353 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=370 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=387 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=404 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=421 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=438 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=455 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=472 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=489 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=506 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=523 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=540 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=556 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=573 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=590 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=607 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=624 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=641 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=658 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=675 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=692 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=709 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=726 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=743 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=760 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=777 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=794 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=811 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=828 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=845 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=862 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=879 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=896 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=913 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=930 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=946 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=963 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=980 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=997 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1014 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1030 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1047 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1064 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1081 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1098 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1114 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1131 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1148 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1165 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1182 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1199 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1216 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1233 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1250 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1267 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1284 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1301 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1318 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1334 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1351 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1367 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1384 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1401 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1417 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1434 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1451 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1468 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1485 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1502 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1518 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1535 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1552 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1569 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1585 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1602 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1619 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1636 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1653 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1670 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1687 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1703 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1720 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1737 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1754 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1770 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1787 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1804 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1821 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1838 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1855 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1871 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1888 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=1905 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
