fastenc(sendmsg) ENABLED hwnd=00550512 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=0 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=14 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=31 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=48 smto=1 res=0 battling=0 pos=(249,545) (1/tick)
fastenc(sendmsg) sent cnt=65 smto=1 res=0 battling=0 pos=(247,545) (1/tick)
fastenc(sendmsg) sent cnt=81 smto=1 res=0 battling=0 pos=(247,545) (1/tick)
fastenc(sendmsg) sent cnt=98 smto=1 res=0 battling=0 pos=(247,545) (1/tick)
fastenc(sendmsg) sent cnt=115 smto=1 res=0 battling=0 pos=(247,545) (1/tick)
fastenc(sendmsg) sent cnt=132 smto=1 res=0 battling=0 pos=(247,545) (1/tick)
fastenc(sendmsg) sent cnt=149 smto=1 res=0 battling=0 pos=(247,545) (1/tick)
fastenc(sendmsg) sent cnt=165 smto=1 res=0 battling=0 pos=(246,545) (1/tick)
fastenc(sendmsg) sent cnt=182 smto=1 res=0 battling=0 pos=(246,545) (1/tick)
fastenc(sendmsg) sent cnt=199 smto=1 res=0 battling=0 pos=(246,545) (1/tick)
fastenc(sendmsg) sent cnt=216 smto=1 res=0 battling=0 pos=(245,545) (1/tick)
fastenc(sendmsg) sent cnt=233 smto=1 res=0 battling=0 pos=(245,545) (1/tick)
fastenc(sendmsg) sent cnt=250 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=267 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=284 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=301 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=318 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=335 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=352 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=369 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=386 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=403 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=420 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=437 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=454 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=471 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=488 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=504 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=521 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=538 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=555 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=572 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=589 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=605 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=622 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=639 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=656 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=673 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=690 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=707 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=724 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=741 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=758 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=775 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=792 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=809 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=826 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=843 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=860 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=877 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=894 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=911 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=928 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=945 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=962 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=979 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=996 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1013 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1030 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1047 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1064 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1081 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1098 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1115 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1132 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1149 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1166 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1183 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1200 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1217 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1234 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1251 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1268 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1285 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1302 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1319 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1336 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1353 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1370 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1387 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1404 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1421 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1438 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1455 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1472 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1489 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1506 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1523 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1539 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1555 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1572 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1588 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1604 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1621 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1638 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1655 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1672 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1689 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1706 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1723 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
fastenc(sendmsg) sent cnt=1740 smto=1 res=0 battling=0 pos=(244,545) (1/tick)
