autowalk want=1 now=(0,0) orig=(0,0) side=0 target=0 ms=0 wrote=0
autowalk want=1 now=(492,343) orig=(492,343) side=0 target=497 ms=0 wrote=1
autowalk want=1 now=(492,343) orig=(492,343) side=5 target=487 ms=1 wrote=1
autowalk want=1 now=(492,343) orig=(492,343) side=0 target=497 ms=1 wrote=1
autowalk want=1 now=(493,343) orig=(492,343) side=0 target=498 ms=0 wrote=1
autowalk want=1 now=(498,343) orig=(492,343) side=0 target=503 ms=0 wrote=1
autowalk want=1 now=(503,343) orig=(492,343) side=0 target=508 ms=0 wrote=1
autowalk want=1 now=(504,343) orig=(492,343) side=0 target=509 ms=0 wrote=1
autowalk want=1 now=(504,343) orig=(492,343) side=4 target=499 ms=0 wrote=1
autowalk want=1 now=(499,343) orig=(492,343) side=4 target=494 ms=0 wrote=1
autowalk want=1 now=(494,343) orig=(492,343) side=4 target=489 ms=0 wrote=1
autowalk want=1 now=(489,343) orig=(492,343) side=4 target=484 ms=0 wrote=1
autowalk want=1 now=(484,343) orig=(492,343) side=4 target=479 ms=0 wrote=1
autowalk want=1 now=(479,343) orig=(492,343) side=4 target=474 ms=0 wrote=1
autowalk want=1 now=(474,343) orig=(492,343) side=4 target=469 ms=0 wrote=1
autowalk want=1 now=(470,343) orig=(492,343) side=4 target=465 ms=0 wrote=1
autowalk want=1 now=(465,343) orig=(492,343) side=4 target=460 ms=0 wrote=1
autowalk want=1 now=(460,343) orig=(492,343) side=4 target=455 ms=0 wrote=1
autowalk want=1 now=(455,343) orig=(492,343) side=4 target=450 ms=0 wrote=1
autowalk want=1 now=(450,343) orig=(492,343) side=4 target=445 ms=0 wrote=1
autowalk want=1 now=(448,343) orig=(492,343) side=4 target=443 ms=0 wrote=1
autowalk want=1 now=(446,344) orig=(492,343) side=4 target=441 ms=0 wrote=1
autowalk want=1 now=(444,345) orig=(492,343) side=4 target=439 ms=0 wrote=1
autowalk want=1 now=(444,345) orig=(492,343) side=5 target=439 ms=0 wrote=1
autowalk want=1 now=(444,345) orig=(492,343) side=0 target=449 ms=0 wrote=1
autowalk want=1 now=(449,345) orig=(492,343) side=0 target=454 ms=0 wrote=1
autowalk want=1 now=(454,345) orig=(492,343) side=0 target=459 ms=0 wrote=1
autowalk want=1 now=(459,345) orig=(492,343) side=0 target=464 ms=0 wrote=1
autowalk want=1 now=(463,346) orig=(492,343) side=0 target=468 ms=0 wrote=1
autowalk want=1 now=(468,346) orig=(492,343) side=0 target=473 ms=0 wrote=1
autowalk want=1 now=(472,346) orig=(492,343) side=0 target=477 ms=0 wrote=1
autowalk want=1 now=(477,346) orig=(492,343) side=0 target=482 ms=0 wrote=1
autowalk want=1 now=(482,346) orig=(492,343) side=0 target=487 ms=0 wrote=1
autowalk want=1 now=(487,346) orig=(492,343) side=0 target=492 ms=0 wrote=1
autowalk want=1 now=(492,346) orig=(492,343) side=0 target=497 ms=0 wrote=1
autowalk want=1 now=(497,346) orig=(492,343) side=0 target=502 ms=0 wrote=1
autowalk want=1 now=(502,346) orig=(492,343) side=0 target=507 ms=0 wrote=1
autowalk want=1 now=(502,346) orig=(492,343) side=3 target=497 ms=0 wrote=1
autowalk want=1 now=(497,347) orig=(492,343) side=3 target=492 ms=0 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=3 target=490 ms=0 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=7 target=500 ms=1 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=2 target=495 ms=1 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=6 target=495 ms=1 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=1 target=500 ms=1 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=2 target=495 ms=1 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=5 target=490 ms=1 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=0 target=500 ms=1 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=6 target=495 ms=1 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=4 target=490 ms=1 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=5 target=490 ms=1 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=2 target=495 ms=1 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=5 target=490 ms=1 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=6 target=495 ms=1 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=5 target=490 ms=1 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=1 target=500 ms=1 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=2 target=495 ms=1 wrote=1
autowalk want=1 now=(495,349) orig=(492,343) side=0 target=500 ms=1 wrote=1
autowalk want=1 now=(500,349) orig=(492,343) side=0 target=505 ms=0 wrote=1
autowalk want=1 now=(500,349) orig=(492,343) side=4 target=495 ms=1 wrote=1
autowalk want=1 now=(500,349) orig=(492,343) side=7 target=505 ms=1 wrote=1
autowalk want=1 now=(505,345) orig=(492,343) side=7 target=510 ms=0 wrote=1
autowalk want=1 now=(510,340) orig=(492,343) side=7 target=515 ms=0 wrote=1
autowalk want=1 now=(512,335) orig=(492,343) side=7 target=517 ms=0 wrote=1
autowalk want=1 now=(512,330) orig=(492,343) side=7 target=517 ms=0 wrote=1
autowalk want=1 now=(515,328) orig=(492,343) side=7 target=520 ms=0 wrote=1
autowalk want=1 now=(515,328) orig=(492,343) side=2 target=515 ms=0 wrote=1
autowalk want=1 now=(515,329) orig=(492,343) side=2 target=515 ms=0 wrote=1
autowalk want=1 now=(515,329) orig=(492,343) side=5 target=510 ms=0 wrote=1
autowalk want=1 now=(513,327) orig=(492,343) side=5 target=508 ms=0 wrote=1
autowalk want=1 now=(513,327) orig=(492,343) side=1 target=518 ms=0 wrote=1
autowalk want=1 now=(518,329) orig=(492,343) side=1 target=523 ms=0 wrote=1
autowalk want=1 now=(523,334) orig=(492,343) side=1 target=528 ms=0 wrote=1
autowalk want=1 now=(528,339) orig=(492,343) side=1 target=533 ms=0 wrote=1
autowalk want=1 now=(533,344) orig=(492,343) side=1 target=538 ms=0 wrote=1
