fastenc(sendmsg) ENABLED hwnd=003D054A (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=0 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=14 smto=1 res=0 battling=0 pos=(261,545) (1/tick)
fastenc(sendmsg) sent cnt=31 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=48 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=65 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=81 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=98 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=114 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=131 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=148 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=165 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=182 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=198 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=214 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=231 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=248 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=264 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=281 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=298 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=315 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=331 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=348 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=365 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=382 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=399 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=416 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=432 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=449 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=466 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=483 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=500 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=517 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=533 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=550 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=567 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=584 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=601 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=618 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=634 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=651 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=668 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=684 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=700 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=717 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=734 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=751 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=768 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=785 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=802 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=819 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=836 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=852 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=869 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=886 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=903 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=920 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=937 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=953 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=970 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=987 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1004 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1021 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1038 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1054 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1071 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1088 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1105 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1122 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1139 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1155 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1172 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1189 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1206 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1223 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1240 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
fastenc(sendmsg) sent cnt=1256 smto=1 res=0 battling=0 pos=(260,545) (1/tick)
