fastenc(sendmsg) ENABLED hwnd=004C04FE (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=1 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=13 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=30 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=46 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=63 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=80 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=97 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=113 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=130 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=147 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=164 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=181 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=198 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=215 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=231 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=248 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=265 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=282 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=299 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=316 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=332 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=349 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=366 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=383 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=399 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=416 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=433 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=450 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=467 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=484 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=501 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=518 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=534 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=551 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=568 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=585 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=602 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=619 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
