fastenc(sendmsg) ENABLED hwnd=006F0086 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=0 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=14 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=31 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=48 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=65 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=81 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=98 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=115 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=132 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=149 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=165 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=182 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=199 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=216 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=233 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=250 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=266 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=283 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=300 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=317 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=334 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=351 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=367 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=384 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=400 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
fastenc(sendmsg) sent cnt=417 smto=1 res=0 battling=0 pos=(259,545) (1/tick)
