fastenc(sendmsg) ENABLED hwnd=005B0528 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=0 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=14 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=31 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=48 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=65 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=82 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=99 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=115 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=132 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=149 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=166 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=183 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=199 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=215 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=232 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=249 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=265 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=282 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=299 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=316 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=333 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=350 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=366 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=383 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=400 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=417 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=434 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=450 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=467 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=484 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=501 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=518 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=535 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=552 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=568 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=585 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=601 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=618 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=634 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=651 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=668 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=685 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=702 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=719 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=735 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=752 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=769 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=786 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=803 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=819 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=836 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=853 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=870 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=887 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=904 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=920 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=937 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=954 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=971 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=988 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1005 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1021 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1037 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1054 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1071 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1087 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1104 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1121 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1138 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1154 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
fastenc(sendmsg) sent cnt=1171 smto=1 res=0 battling=0 pos=(258,545) (1/tick)
