fastenc(sendmsg) ENABLED hwnd=004D04FA (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=0 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=14 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=31 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=48 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=65 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=81 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=98 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=115 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=132 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=149 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=165 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=182 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=199 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=215 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=231 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=248 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=265 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=282 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=298 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=315 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=332 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=349 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=365 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
