fastenc(sendmsg) ENABLED hwnd=0032058A (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=1 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=14 smto=1 res=0 battling=0 pos=(257,545) (1/tick)
fastenc(sendmsg) sent cnt=31 smto=1 res=0 battling=0 pos=(256,545) (1/tick)
fastenc(sendmsg) sent cnt=48 smto=1 res=0 battling=0 pos=(256,545) (1/tick)
fastenc(sendmsg) sent cnt=65 smto=1 res=0 battling=0 pos=(255,545) (1/tick)
fastenc(sendmsg) sent cnt=82 smto=1 res=0 battling=0 pos=(255,545) (1/tick)
fastenc(sendmsg) sent cnt=99 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=116 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=133 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=150 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=166 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=183 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=200 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=217 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=234 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=251 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=268 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=285 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=301 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=318 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=335 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
