fastenc(sendmsg) ENABLED hwnd=003704CA (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=0 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=14 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=31 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=48 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=65 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=81 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=98 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=115 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=132 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=149 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=165 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=182 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=199 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=216 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=233 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=250 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=266 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=283 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=300 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=317 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=333 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=350 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=367 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=384 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=400 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=417 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=434 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=451 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=468 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=485 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=502 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=519 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=535 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=552 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=569 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=586 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=602 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=619 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=636 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=653 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=670 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=687 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=704 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=720 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=737 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=754 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=771 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=788 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=805 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=821 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=838 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=855 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=872 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=888 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=905 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=922 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=939 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=956 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=972 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=989 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1006 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1023 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1039 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1055 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1072 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1089 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1106 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1123 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1140 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1156 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1173 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1190 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1207 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1224 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1241 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1257 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1274 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1291 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1308 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1325 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1341 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1358 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1375 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1392 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1409 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1426 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1443 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1460 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1477 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1494 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1511 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1528 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1545 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1562 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1578 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1595 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1612 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1629 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1646 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1663 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1679 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1696 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1713 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1730 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1747 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1764 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1780 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1797 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1814 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1830 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1847 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1864 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1881 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
fastenc(sendmsg) sent cnt=1898 smto=1 res=0 battling=0 pos=(254,545) (1/tick)
