fastenc(sendmsg) ENABLED hwnd=003C0560 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=0 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=14 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=31 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=48 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=65 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=82 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=99 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=115 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=132 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=149 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=166 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=183 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=199 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=215 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=232 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=249 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=266 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=283 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=300 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=317 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=334 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
