fastenc(sendmsg) ENABLED hwnd=002602D8 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=0 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=13 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=30 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=46 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=63 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=80 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=97 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=114 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=131 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=148 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=165 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=182 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=199 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=216 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=233 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=250 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=267 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=284 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=301 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=318 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=335 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=352 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=369 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
fastenc(sendmsg) sent cnt=386 smto=1 res=0 battling=0 pos=(142,376) (1/tick)
