fastenc(sendmsg) ENABLED hwnd=00290388 (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=0 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=12 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=29 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=46 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=63 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=80 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=97 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=114 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=131 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=148 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=164 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=181 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=197 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=214 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=231 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=248 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=265 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=282 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=298 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=315 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=332 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=349 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=366 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=383 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=399 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=416 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=433 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=450 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=466 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=483 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=500 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=517 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=534 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=551 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=567 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=584 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=601 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=618 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=635 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=652 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=668 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=685 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=702 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=719 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=736 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=752 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=769 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=786 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=803 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=820 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=837 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=853 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=869 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=886 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=903 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=919 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=936 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=953 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=970 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=987 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1004 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1021 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1038 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1055 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1072 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1089 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1106 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1122 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1139 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1156 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1173 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1190 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1207 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1224 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1241 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1258 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1275 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1292 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1309 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1326 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1342 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1358 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1375 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1392 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1408 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1425 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1442 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1459 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1476 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1493 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1509 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1526 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1543 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1560 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1577 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1594 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1610 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1626 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1643 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1660 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1676 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1693 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1710 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1727 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1744 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1761 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1777 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
fastenc(sendmsg) sent cnt=1794 smto=1 res=0 battling=0 pos=(290,651) (1/tick)
