fastenc(sendmsg) ENABLED hwnd=004402EE (pure in-place gcgc, no origin)
fastenc(sendmsg) sent cnt=1 smto=1 res=0 battling=0 pos=(0,0) (1/tick)
fastenc(sendmsg) sent cnt=13 smto=1 res=0 battling=0 pos=(289,651) (1/tick)
fastenc(sendmsg) sent cnt=28 smto=1 res=0 battling=0 pos=(289,651) (1/tick)
fastenc(sendmsg) sent cnt=37 smto=1 res=0 battling=0 pos=(288,651) (1/tick)
fastenc(sendmsg) sent cnt=54 smto=1 res=0 battling=0 pos=(288,651) (1/tick)
fastenc(sendmsg) sent cnt=71 smto=1 res=0 battling=0 pos=(288,651) (1/tick)
fastenc(sendmsg) sent cnt=87 smto=1 res=0 battling=0 pos=(288,651) (1/tick)
fastenc(sendmsg) sent cnt=92 smto=1 res=0 battling=0 pos=(287,651) (1/tick)
fastenc(sendmsg) sent cnt=107 smto=1 res=0 battling=0 pos=(286,651) (1/tick)
fastenc(sendmsg) sent cnt=122 smto=1 res=0 battling=0 pos=(285,651) (1/tick)
fastenc(sendmsg) sent cnt=132 smto=1 res=0 battling=0 pos=(284,651) (1/tick)
fastenc(sendmsg) sent cnt=148 smto=1 res=0 battling=0 pos=(284,651) (1/tick)
fastenc(sendmsg) sent cnt=165 smto=1 res=0 battling=0 pos=(284,651) (1/tick)
fastenc(sendmsg) sent cnt=182 smto=1 res=0 battling=0 pos=(284,651) (1/tick)
fastenc(sendmsg) sent cnt=191 smto=1 res=0 battling=0 pos=(284,651) (1/tick)
fastenc(sendmsg) sent cnt=208 smto=1 res=0 battling=0 pos=(284,651) (1/tick)
fastenc(sendmsg) sent cnt=224 smto=1 res=0 battling=0 pos=(284,651) (1/tick)
fastenc(sendmsg) sent cnt=228 smto=1 res=0 battling=0 pos=(284,651) (1/tick)
fastenc(sendmsg) sent cnt=244 smto=1 res=0 battling=0 pos=(284,651) (1/tick)
fastenc(sendmsg) sent cnt=251 smto=1 res=0 battling=0 pos=(284,651) (1/tick)
fastenc(sendmsg) sent cnt=268 smto=1 res=0 battling=0 pos=(284,651) (1/tick)
fastenc(sendmsg) sent cnt=283 smto=1 res=0 battling=0 pos=(283,651) (1/tick)
fastenc(sendmsg) sent cnt=300 smto=1 res=0 battling=0 pos=(283,651) (1/tick)
fastenc(sendmsg) sent cnt=316 smto=1 res=0 battling=0 pos=(283,651) (1/tick)
fastenc(sendmsg) sent cnt=326 smto=1 res=0 battling=0 pos=(283,651) (1/tick)
fastenc(sendmsg) sent cnt=339 smto=1 res=0 battling=0 pos=(281,651) (1/tick)
fastenc(sendmsg) sent cnt=346 smto=1 res=0 battling=0 pos=(281,651) (1/tick)
fastenc(sendmsg) sent cnt=347 smto=1 res=0 battling=0 pos=(280,651) (1/tick)
fastenc(sendmsg) sent cnt=351 smto=1 res=0 battling=0 pos=(279,651) (1/tick)
fastenc(sendmsg) sent cnt=354 smto=1 res=0 battling=0 pos=(279,651) (1/tick)
fastenc(sendmsg) sent cnt=371 smto=1 res=0 battling=0 pos=(279,651) (1/tick)
fastenc(sendmsg) sent cnt=373 smto=1 res=0 battling=0 pos=(278,651) (1/tick)
fastenc(sendmsg) sent cnt=390 smto=1 res=0 battling=0 pos=(278,651) (1/tick)
fastenc(sendmsg) sent cnt=405 smto=1 res=0 battling=0 pos=(278,651) (1/tick)
fastenc(sendmsg) sent cnt=422 smto=1 res=0 battling=0 pos=(278,651) (1/tick)
fastenc(sendmsg) sent cnt=439 smto=1 res=0 battling=0 pos=(278,651) (1/tick)
fastenc(sendmsg) sent cnt=443 smto=1 res=0 battling=0 pos=(278,651) (1/tick)
fastenc(sendmsg) sent cnt=445 smto=1 res=0 battling=0 pos=(277,651) (1/tick)
fastenc(sendmsg) sent cnt=449 smto=1 res=0 battling=0 pos=(276,651) (1/tick)
fastenc(sendmsg) sent cnt=454 smto=1 res=0 battling=0 pos=(276,651) (1/tick)
fastenc(sendmsg) sent cnt=466 smto=1 res=0 battling=0 pos=(275,651) (1/tick)
fastenc(sendmsg) sent cnt=479 smto=1 res=0 battling=0 pos=(273,651) (1/tick)
